scen,Sector,Subsector,Technology,Enduse,Unit,Parameters,Fuel,Period,FuelGroup,Technology_Group,Value
Kea,Agriculture,Dairy Cattle Farming,Heat Recovery System (Heating),Water Heating,PJ,End Use Demand,Electricity,2055,Electricity,Heating/Cooling,1.5802271964908492
Kea,Agriculture,Dairy Cattle Farming,Heat Recovery System (Heating),Water Heating,PJ,End Use Demand,Electricity,2060,Electricity,Heating/Cooling,1.519413040887363
Kea,Agriculture,Dairy Cattle Farming,Heat Recovery System (Heating),Water Heating,PJ,Fuel Consumption,Electricity,2018,Electricity,Heating/Cooling,0.42738957466000294
Kea,Agriculture,Dairy Cattle Farming,Heat Recovery System (Heating),Water Heating,PJ,Fuel Consumption,Electricity,2025,Electricity,Heating/Cooling,0.5655035768954085
Kea,Agriculture,Dairy Cattle Farming,Heat Recovery System (Heating),Water Heating,PJ,Fuel Consumption,Electricity,2030,Electricity,Heating/Cooling,0.54749078730616
Kea,Agriculture,Dairy Cattle Farming,Heat Recovery System (Heating),Water Heating,PJ,Fuel Consumption,Electricity,2035,Electricity,Heating/Cooling,0.5282338367781885
Kea,Agriculture,Dairy Cattle Farming,Heat Recovery System (Heating),Water Heating,PJ,Fuel Consumption,Electricity,2040,Electricity,Heating/Cooling,0.5079050544257558
Kea,Agriculture,Dairy Cattle Farming,Heat Recovery System (Heating),Water Heating,PJ,Fuel Consumption,Electricity,2045,Electricity,Heating/Cooling,0.4883586138378242
Kea,Agriculture,Dairy Cattle Farming,Heat Recovery System (Heating),Water Heating,PJ,Fuel Consumption,Electricity,2050,Electricity,Heating/Cooling,0.46956440703124014
Kea,Agriculture,Dairy Cattle Farming,Heat Recovery System (Heating),Water Heating,PJ,Fuel Consumption,Electricity,2055,Electricity,Heating/Cooling,0.4514934847116712
Kea,Agriculture,Dairy Cattle Farming,Heat Recovery System (Heating),Water Heating,PJ,Fuel Consumption,Electricity,2060,Electricity,Heating/Cooling,0.43411801168210384
Kea,Agriculture,Dairy Cattle Farming,Hot Water Cylinder,Water Heating,Mt CO<sub>2</sub>/yr,Emissions,Electricity,2018,Electricity,Heating/Cooling,0
Kea,Agriculture,Dairy Cattle Farming,Hot Water Cylinder,Water Heating,Mt CO<sub>2</sub>/yr,Emissions,Electricity,2025,Electricity,Heating/Cooling,0
Kea,Agriculture,Dairy Cattle Farming,Hot Water Cylinder,Water Heating,Mt CO<sub>2</sub>/yr,Emissions,Electricity,2030,Electricity,Heating/Cooling,0
Kea,Agriculture,Dairy Cattle Farming,Hot Water Cylinder,Water Heating,Mt CO<sub>2</sub>/yr,Emissions,Electricity,2035,Electricity,Heating/Cooling,0
Kea,Agriculture,Dairy Cattle Farming,Hot Water Cylinder,Water Heating,Mt CO<sub>2</sub>/yr,Emissions,Electricity,2040,Electricity,Heating/Cooling,0
Kea,Agriculture,Dairy Cattle Farming,Hot Water Cylinder,Water Heating,Mt CO<sub>2</sub>/yr,Emissions,Electricity,2045,Electricity,Heating/Cooling,0
Kea,Agriculture,Dairy Cattle Farming,Hot Water Cylinder,Water Heating,Mt CO<sub>2</sub>/yr,Emissions,Electricity,2050,Electricity,Heating/Cooling,0
Kea,Agriculture,Dairy Cattle Farming,Hot Water Cylinder,Water Heating,Mt CO<sub>2</sub>/yr,Emissions,Electricity,2055,Electricity,Heating/Cooling,0
Kea,Agriculture,Dairy Cattle Farming,Hot Water Cylinder,Water Heating,Mt CO<sub>2</sub>/yr,Emissions,Electricity,2060,Electricity,Heating/Cooling,0
Kea,Agriculture,Dairy Cattle Farming,Hot Water Cylinder,Water Heating,PJ,End Use Demand,Electricity,2018,Electricity,Heating/Cooling,0.57813648868999
Kea,Agriculture,Dairy Cattle Farming,Hot Water Cylinder,Water Heating,PJ,End Use Demand,Electricity,2025,Electricity,Heating/Cooling,0
Kea,Agriculture,Dairy Cattle Farming,Hot Water Cylinder,Water Heating,PJ,End Use Demand,Electricity,2030,Electricity,Heating/Cooling,0
Kea,Agriculture,Dairy Cattle Farming,Hot Water Cylinder,Water Heating,PJ,End Use Demand,Electricity,2035,Electricity,Heating/Cooling,0
Kea,Agriculture,Dairy Cattle Farming,Hot Water Cylinder,Water Heating,PJ,End Use Demand,Electricity,2040,Electricity,Heating/Cooling,0
Kea,Agriculture,Dairy Cattle Farming,Hot Water Cylinder,Water Heating,PJ,End Use Demand,Electricity,2045,Electricity,Heating/Cooling,0
Kea,Agriculture,Dairy Cattle Farming,Hot Water Cylinder,Water Heating,PJ,End Use Demand,Electricity,2050,Electricity,Heating/Cooling,0
Kea,Agriculture,Dairy Cattle Farming,Hot Water Cylinder,Water Heating,PJ,End Use Demand,Electricity,2055,Electricity,Heating/Cooling,0
Kea,Agriculture,Dairy Cattle Farming,Hot Water Cylinder,Water Heating,PJ,End Use Demand,Electricity,2060,Electricity,Heating/Cooling,0
Kea,Agriculture,Dairy Cattle Farming,Hot Water Cylinder,Water Heating,PJ,Fuel Consumption,Electricity,2018,Electricity,Heating/Cooling,0.6954197419723125
Kea,Agriculture,Dairy Cattle Farming,Hot Water Cylinder,Water Heating,PJ,Fuel Consumption,Electricity,2025,Electricity,Heating/Cooling,0
Kea,Agriculture,Dairy Cattle Farming,Hot Water Cylinder,Water Heating,PJ,Fuel Consumption,Electricity,2030,Electricity,Heating/Cooling,0
Kea,Agriculture,Dairy Cattle Farming,Hot Water Cylinder,Water Heating,PJ,Fuel Consumption,Electricity,2035,Electricity,Heating/Cooling,0
Kea,Agriculture,Dairy Cattle Farming,Hot Water Cylinder,Water Heating,PJ,Fuel Consumption,Electricity,2040,Electricity,Heating/Cooling,0
Kea,Agriculture,Dairy Cattle Farming,Hot Water Cylinder,Water Heating,PJ,Fuel Consumption,Electricity,2045,Electricity,Heating/Cooling,0
Kea,Agriculture,Dairy Cattle Farming,Hot Water Cylinder,Water Heating,PJ,Fuel Consumption,Electricity,2050,Electricity,Heating/Cooling,0
Kea,Agriculture,Dairy Cattle Farming,Hot Water Cylinder,Water Heating,PJ,Fuel Consumption,Electricity,2055,Electricity,Heating/Cooling,0
Kea,Agriculture,Dairy Cattle Farming,Hot Water Cylinder,Water Heating,PJ,Fuel Consumption,Electricity,2060,Electricity,Heating/Cooling,0
Kea,Agriculture,Dairy Cattle Farming,Irrigator,Irrigation,Mt CO<sub>2</sub>/yr,Emissions,Electricity,2018,Electricity,Stationary Motive Power,0
Kea,Agriculture,Dairy Cattle Farming,Irrigator,Irrigation,Mt CO<sub>2</sub>/yr,Emissions,Electricity,2025,Electricity,Stationary Motive Power,0
Kea,Agriculture,Dairy Cattle Farming,Irrigator,Irrigation,Mt CO<sub>2</sub>/yr,Emissions,Electricity,2030,Electricity,Stationary Motive Power,0
Kea,Agriculture,Dairy Cattle Farming,Irrigator,Irrigation,Mt CO<sub>2</sub>/yr,Emissions,Electricity,2035,Electricity,Stationary Motive Power,0
Kea,Agriculture,Dairy Cattle Farming,Irrigator,Irrigation,Mt CO<sub>2</sub>/yr,Emissions,Electricity,2040,Electricity,Stationary Motive Power,0
Kea,Agriculture,Dairy Cattle Farming,Irrigator,Irrigation,Mt CO<sub>2</sub>/yr,Emissions,Electricity,2045,Electricity,Stationary Motive Power,0
Kea,Agriculture,Dairy Cattle Farming,Irrigator,Irrigation,Mt CO<sub>2</sub>/yr,Emissions,Electricity,2050,Electricity,Stationary Motive Power,0
Kea,Agriculture,Dairy Cattle Farming,Irrigator,Irrigation,Mt CO<sub>2</sub>/yr,Emissions,Electricity,2055,Electricity,Stationary Motive Power,0
Kea,Agriculture,Dairy Cattle Farming,Irrigator,Irrigation,Mt CO<sub>2</sub>/yr,Emissions,Electricity,2060,Electricity,Stationary Motive Power,0
Kea,Agriculture,Dairy Cattle Farming,Irrigator,Irrigation,PJ,End Use Demand,Electricity,2018,Electricity,Stationary Motive Power,0.77487159288125
Kea,Agriculture,Dairy Cattle Farming,Irrigator,Irrigation,PJ,End Use Demand,Electricity,2025,Electricity,Stationary Motive Power,0.5043371737950011
Kea,Agriculture,Dairy Cattle Farming,Irrigator,Irrigation,PJ,End Use Demand,Electricity,2030,Electricity,Stationary Motive Power,0.3103613377200004
Kea,Agriculture,Dairy Cattle Farming,Irrigator,Irrigation,PJ,End Use Demand,Electricity,2035,Electricity,Stationary Motive Power,0.11638550164500061
Kea,Agriculture,Dairy Cattle Farming,Irrigator,Irrigation,PJ,End Use Demand,Electricity,2040,Electricity,Stationary Motive Power,0
Kea,Agriculture,Dairy Cattle Farming,Irrigator,Irrigation,PJ,End Use Demand,Electricity,2045,Electricity,Stationary Motive Power,0
Kea,Agriculture,Dairy Cattle Farming,Irrigator,Irrigation,PJ,End Use Demand,Electricity,2050,Electricity,Stationary Motive Power,0
Kea,Agriculture,Dairy Cattle Farming,Irrigator,Irrigation,PJ,End Use Demand,Electricity,2055,Electricity,Stationary Motive Power,0
Kea,Agriculture,Dairy Cattle Farming,Irrigator,Irrigation,PJ,End Use Demand,Electricity,2060,Electricity,Stationary Motive Power,0
Kea,Agriculture,Dairy Cattle Farming,Irrigator,Irrigation,PJ,Fuel Consumption,Electricity,2018,Electricity,Stationary Motive Power,1.1069594184017875
Kea,Agriculture,Dairy Cattle Farming,Irrigator,Irrigation,PJ,Fuel Consumption,Electricity,2025,Electricity,Stationary Motive Power,0.7204816768500014
Kea,Agriculture,Dairy Cattle Farming,Irrigator,Irrigation,PJ,Fuel Consumption,Electricity,2030,Electricity,Stationary Motive Power,0.4433733396000008
Kea,Agriculture,Dairy Cattle Farming,Irrigator,Irrigation,PJ,Fuel Consumption,Electricity,2035,Electricity,Stationary Motive Power,0.16626500235000033
Kea,Agriculture,Dairy Cattle Farming,Irrigator,Irrigation,PJ,Fuel Consumption,Electricity,2040,Electricity,Stationary Motive Power,0
Kea,Agriculture,Dairy Cattle Farming,Irrigator,Irrigation,PJ,Fuel Consumption,Electricity,2045,Electricity,Stationary Motive Power,0
Kea,Agriculture,Dairy Cattle Farming,Irrigator,Irrigation,PJ,Fuel Consumption,Electricity,2050,Electricity,Stationary Motive Power,0
Kea,Agriculture,Dairy Cattle Farming,Irrigator,Irrigation,PJ,Fuel Consumption,Electricity,2055,Electricity,Stationary Motive Power,0
Kea,Agriculture,Dairy Cattle Farming,Irrigator,Irrigation,PJ,Fuel Consumption,Electricity,2060,Electricity,Stationary Motive Power,0
Kea,Agriculture,Dairy Cattle Farming,Irrigator with VSD,Irrigation,Mt CO<sub>2</sub>/yr,Emissions,Electricity,2018,Electricity,Stationary Motive Power,0
Kea,Agriculture,Dairy Cattle Farming,Irrigator with VSD,Irrigation,Mt CO<sub>2</sub>/yr,Emissions,Electricity,2025,Electricity,Stationary Motive Power,0
Kea,Agriculture,Dairy Cattle Farming,Irrigator with VSD,Irrigation,Mt CO<sub>2</sub>/yr,Emissions,Electricity,2030,Electricity,Stationary Motive Power,0
Kea,Agriculture,Dairy Cattle Farming,Irrigator with VSD,Irrigation,Mt CO<sub>2</sub>/yr,Emissions,Electricity,2035,Electricity,Stationary Motive Power,0
Kea,Agriculture,Dairy Cattle Farming,Irrigator with VSD,Irrigation,Mt CO<sub>2</sub>/yr,Emissions,Electricity,2040,Electricity,Stationary Motive Power,0
